ID,IMAGE_ID,TEXT
0,0,"Baby is crying, loudly, go check it out?"
1,0,"Loud music from your neighbour's house, do sothing with it?"
2,0,"You are kind hungry now, have some warm milk?"
4,0,"You remenber you have a new earplug, use it now?"
5,0,"You smell somthing bad, go find out what it is?"
6,0,"Livingroom light is on, go turn it off?"
7,0,"You need to pee, hold it?"
8,0,"There is a sleeping pill in you hand, do you take it?"
9,0,"Some one is at the door, answer the door?"
10,0,"A bright light come through your window, you want to check it out?"
11,0,"Phone is vibrating none stop, take a peak?"
12,0,"You smell something burning, go find out what it is?"
101,0,"Boss is calling you, ignore it?"
103,0,"Your pet poop on the floor, leave it there?"
105,0,"You found a sleepmask, use it?"
106,0,"Fire alarm goes off in the building, evacuate?"
107,0,"A podcast you like has an update, listen to it?"
108,0,"Your neighbour are dancing in you room, do somthing about it?"
